[2022-05-08 01:05:47,630] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 01:05:47,840] [40] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 01:05:47,956] [40] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 01:05:48,091] [40] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 01:05:48,202] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:48,296] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:48,402] [40] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 01:05:48,593] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:48,601] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:48,827] [40] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 01:05:48,944] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:49,051] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:49,155] [40] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 01:05:49,366] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
